risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Stable-Tail-eta0.5_seed0,A,1.0,0.0,10,2.9768697213194857,0.19547591694016672,0.07514184069914157,0.009533180503930636,0.8103071055031015,0.05298158999178854,0.10074891443846079,0.024893407914448714,0.2047390794592289,0.05133467929033868,0.7379662009915366,0.012600538979730791,0.7346123268270625,0.016161156357186075,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed0,A,2.0,0.0,10,2.4342096053017785,0.2334806166453696,0.04418132896930963,0.008680703426740427,0.8081747945447674,0.0604543278882695,0.1007262748813074,0.016426284721179758,0.26528446417039403,0.060266194211953596,0.6859697185577167,0.025280052646282938,0.6677157483621686,0.03150446802585672,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed1,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed1,A,1.0,0.0,10,3.1813948037998347,0.13289632106416185,0.07949163753640717,0.0095176303117052,1.1230239819135952,0.18882869037723282,0.1386339396941954,0.019148370069384194,0.26862781156098264,0.0682662589507115,0.7517034127648776,0.009003633642575377,0.7514641764084183,0.010283298182791183,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed1,A,2.0,0.0,10,2.7353312543131705,0.1512467695486496,0.052094528241659145,0.008005729697289885,0.938155919967515,0.07147017393351561,0.09238183575850613,0.009270721164205745,0.27420620312657307,0.04729924079315045,0.7243061233558621,0.013561156512367506,0.7143615946721213,0.015546420140308582,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed2,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed2,A,1.0,0.0,10,3.2821784562433804,0.3058998907200856,0.08644725644404337,0.008882483729917687,1.1395300934026389,0.16386025497107387,0.14177160971066186,0.01750513328902885,0.24197358291887108,0.09780409674197088,0.7561879853977735,0.011378750998359706,0.7582221156224163,0.01782593649683196,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed2,A,2.0,0.0,10,2.865857087281908,0.18725546326209996,0.05739173165725375,0.01152456086907073,0.9193758251458866,0.07377634736211242,0.10759449576762123,0.013638039012726413,0.24934399696317575,0.041906831825146075,0.7292276732470204,0.016128560323681547,0.7207443520886777,0.019667563178090947,0.5313090438090153,0.0
A_Stable-Tail-eta0.5_seed3,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.5_seed3,A,1.0,0.0,10,3.4081298217108618,0.28929906306489267,0.08406271227130922,0.016184742409724236,0.9621248035778329,0.10378307125259179,0.11236576113792533,0.02632975589506466,0.17689417399452775,0.08012024712735094,0.7609332195763508,0.013810718208628593,0.7666957511823543,0.017710121383398794,0.5313090438090153,0.0
