risk_source,customer_set,budget,selector,runs,value_mean,value_std,selected_cost_increase_mean
A_Stable-Tail-eta0.3_seed7,A,0.3,load_risk,10,1.3286537478593026,0.1307506201067424,0.265271474968385
A_Stable-Tail-eta0.3_seed7,A,0.3,top10_share,10,0.7157715442819942,0.021353003527393298,0.265271474968385
A_Stable-Tail-eta0.3_seed8,A,0.25,common_risk,10,3.305795571694561,0.25587280936835793,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,cvar90,10,0.07313311620519966,0.010974084448968736,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,cvar95,10,0.1415219654314103,0.04257006645551436,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,edge_gini,10,0.757172352421657,0.011892271498275452,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,load_cvar90,10,0.046314691565621534,0.010336244134691508,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,load_risk,10,1.6451450326351895,0.28613555408102803,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.25,top10_share,10,0.7602005535473016,0.01665367888455524,0.17982350600947433
A_Stable-Tail-eta0.3_seed8,A,0.3,common_risk,10,2.696630729461396,0.2282681518639332,0.28498217961727307
A_Stable-Tail-eta0.3_seed8,A,0.3,cvar90,10,0.052374660117155025,0.006458303603588934,0.28498217961727307
A_Stable-Tail-eta0.3_seed8,A,0.3,cvar95,10,0.09294588673078177,0.027960982627819146,0.2529100576997792
A_Stable-Tail-eta0.3_seed8,A,0.3,edge_gini,10,0.7177211363580482,0.01966664774560087,0.28498217961727307
A_Stable-Tail-eta0.3_seed8,A,0.3,load_cvar90,10,0.03320154564333976,0.004685168737099351,0.2639682763209306
A_Stable-Tail-eta0.3_seed8,A,0.3,load_risk,10,1.291319238887579,0.1257361892341387,0.2639682763209306
A_Stable-Tail-eta0.3_seed8,A,0.3,top10_share,10,0.7073435253714246,0.02291285969283942,0.28498217961727307
A_Stable-Tail-eta0.3_seed9,A,0.25,common_risk,10,2.8528733241775606,0.20325077593613272,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.25,cvar90,10,0.06212578365548077,0.015544656291511832,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.25,cvar95,10,0.12962395320039136,0.017158110511575318,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.25,edge_gini,10,0.7306210418326693,0.012899484337702142,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.25,load_cvar90,10,0.035577457577747315,0.005056763824125723,0.21063079115682964
A_Stable-Tail-eta0.3_seed9,A,0.25,load_risk,10,1.3731950657106702,0.12626605307634833,0.21063079115682964
A_Stable-Tail-eta0.3_seed9,A,0.25,top10_share,10,0.7229524456003787,0.017573779757969782,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.3,common_risk,10,2.8528733241775606,0.20325077593613272,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.3,cvar90,10,0.06212578365548077,0.015544656291511832,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.3,cvar95,10,0.12962395320039136,0.017158110511575318,0.21930778633586218
A_Stable-Tail-eta0.3_seed9,A,0.3,edge_gini,10,0.7306210418326693,0.012899484337702142,0.21930778633586218
