group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
normal_high,1937,2418,Hop-shortest,1937 4530 5169 3816 4338 4330 4336 3934 3804 2418,9,0.02135761547833681,0.1531260460615158,0.08006136538460851,0.1531260460615158,0.1531260460615158,0.01681443438347843,0.640121087343777,0.7103938802019456,0.1922185393050313,0.0,0.0,0.0
normal_high,1937,2418,Mean-risk-raw,1937 4530 5170 3816 4338 4330 4336 3934 3804 2418,9,0.0046618240885436535,0.006996684707701206,0.006053961503009002,0.006996684707701206,0.006996684707701206,0.0003548187410665883,0.12031123714115782,0.15687272274831798,0.04195641679689288,0.0,0.7817254415241703,0.954307677311509
normal_high,1937,2418,Mean-risk-floor,1937 4530 5170 3816 4338 4330 4336 3934 3804 2418,9,0.0046618240885436535,0.006996684707701206,0.006053961503009002,0.006996684707701206,0.006996684707701206,0.0003548187410665883,0.12031123714115782,0.15687272274831798,0.04195641679689288,0.0,0.7817254415241703,0.954307677311509
normal_high,1937,2418,CVaR-risk,1937 4530 5170 3816 4338 4330 4336 3934 3804 2418,9,0.0046618240885436535,0.006996684707701206,0.006053961503009002,0.006996684707701206,0.006996684707701206,0.0003548187410665883,0.12031123714115782,0.15687272274831798,0.04195641679689288,0.0,0.7817254415241703,0.954307677311509
normal_high,1937,2418,CVaR+Concentration,1937 4530 5170 3816 4338 4330 2630 4336 3934 3804 2418,10,0.004689490469172597,0.006996684707701206,0.006053961503009002,0.006996684707701206,0.006996684707701206,0.00031933686695992944,0.10739575713100998,0.1463341101851079,0.04689490469172597,0.11111111111109877,0.7560333937505136,0.954307677311509
normal_high,90,3690,Hop-shortest,90 91 4850 3497 106 3802 2995 2996 2084 4128 3477 4141 4706 4568 1519 1520 4926 3690,17,0.03151286108528867,0.2530105710029602,0.11943696858361363,0.23034026473760605,0.2530105710029602,0.026978750877520618,0.37474806480526085,0.7655175161725749,0.5357186384499073,0.0,0.0,0.0
normal_high,90,3690,Mean-risk-raw,90 91 4850 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3526 3561 3865 4926 3690,17,0.004425663774942651,0.005403658840805292,0.005131481681019068,0.005403658840805292,0.005403658840805292,4.872394835247713e-05,0.05979205633953327,0.07049323181147948,0.07523628417402506,0.0,0.85956007729621,0.9765405373309897
normal_high,90,3690,Mean-risk-floor,90 91 4850 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3526 3561 3865 4926 3690,17,0.004425663774942651,0.005403658840805292,0.005131481681019068,0.005403658840805292,0.005403658840805292,4.872394835247713e-05,0.05979205633953327,0.07049323181147948,0.07523628417402506,0.0,0.85956007729621,0.9765405373309897
normal_high,90,3690,CVaR-risk,90 91 4850 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3526 3561 3865 4926 3690,17,0.004425663774942651,0.005403658840805292,0.005131481681019068,0.005403658840805292,0.005403658840805292,4.872394835247713e-05,0.05979205633953327,0.07049323181147948,0.07523628417402506,0.0,0.85956007729621,0.9765405373309897
normal_high,90,3690,CVaR+Concentration,90 91 4850 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3526 1641 3561 3865 4926 3690,18,0.0044376646013309555,0.005403658840805292,0.005131481681019068,0.005403658840805292,0.005403658840805292,4.601706233289507e-05,0.056421698463480156,0.0682613761127393,0.0798779628239572,0.05882352941176125,0.850895680882163,0.9765405373309897
normal_high,2632,266,Hop-shortest,2632 4219 3846 4217 3768 3877 266,6,0.06966695507677893,0.39180490374565125,0.19978170841932297,0.39180490374565125,0.39180490374565125,0.06493073437983791,0.8794169553382879,0.7765302384150705,0.41800173046067357,0.0,0.0,0.0
normal_high,2632,266,Mean-risk-raw,2632 4808 4090 4081 4040 4645 4580 4858 266,8,0.004575445840600878,0.00495879864320159,0.004893796052783728,0.00495879864320159,0.00495879864320159,0.0,0.1256384017631379,0.039259256415713484,0.036603566724807024,0.33333333333327775,0.9124320210699147,0.9873437044897018
normal_high,2632,266,Mean-risk-floor,2632 4808 4090 4081 4040 4645 4580 4858 266,8,0.004575445840600878,0.00495879864320159,0.004893796052783728,0.00495879864320159,0.00495879864320159,0.0,0.1256384017631379,0.039259256415713484,0.036603566724807024,0.33333333333327775,0.9124320210699147,0.9873437044897018
normal_high,2632,266,CVaR-risk,2632 4808 4090 4081 4040 4645 4580 4858 266,8,0.004575445840600878,0.00495879864320159,0.004893796052783728,0.00495879864320159,0.00495879864320159,0.0,0.1256384017631379,0.039259256415713484,0.036603566724807024,0.33333333333327775,0.9124320210699147,0.9873437044897018
normal_high,2632,266,CVaR+Concentration,2632 4808 4090 4081 4040 4645 4580 4858 266,8,0.004575445840600878,0.00495879864320159,0.004893796052783728,0.00495879864320159,0.00495879864320159,0.0,0.1256384017631379,0.039259256415713484,0.036603566724807024,0.33333333333327775,0.9124320210699147,0.9873437044897018
