set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
B,30,J-reranking,3,7,21.24515900289096,3.2751440613632443,0.07422759071547033,1.4650037839414425,0.7362197793135395,0.9332386924704165,B_TEG-low_seed3
B,30,J-reranking,3,8,26.07276182719066,3.274911494662822,0.07422759071547032,1.674774733036048,0.7362720617050298,1.099233121984772,B_TEG-low_seed3
B,30,J-reranking,3,9,29.38924239207118,3.2757370465650375,0.07422759071547032,1.5185859367784644,0.7360865062735502,1.0616934921394385,B_Stable-Tail-GNN_seed3
B,30,J-reranking,4,0,26.62620976856006,3.1521806681370164,0.0725589963335028,1.744846072777468,0.7282919738470266,1.0994365953198264,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,1,27.02347276351208,3.1419869068343456,0.06215567892189806,1.4331768620597993,0.7291861679851945,0.6992131216141252,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,2,26.05206458299242,3.152180668137017,0.07255899633350281,1.7485330485429655,0.7282919738470264,0.9823775368801995,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,3,26.05206458299242,3.1521806681370164,0.07255899633350281,2.022466181492955,0.7282919738470266,0.9659659553431482,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,4,25.695377723477907,3.2894254223395505,0.07672979656850042,1.5285792174624773,0.7359947946697005,1.0764725247559939,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,5,25.482250729654517,3.153006220039232,0.0725589963335028,1.4887716292755169,0.7281012850940022,0.7819829089189188,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,6,29.25269802484219,3.1521806681370164,0.0725589963335028,1.589895622739481,0.7282919738470266,0.8613921376972505,B_GCN_seed4
B,30,J-reranking,4,7,26.05206458299242,3.1521806681370164,0.07255899633350278,1.9158918541921248,0.7282919738470267,0.9153862140908797,B_Stable-Tail-GNN_seed4
B,30,J-reranking,4,8,29.72103441254327,3.2860545272172903,0.07672979656850042,1.3605126162918932,0.7302627241999367,0.9170124693265453,B_GCN_seed4
B,30,J-reranking,4,9,23.639203008239782,3.6124222104365,0.08805864656104136,1.4138467708479976,0.7674275237851442,1.0513942236994747,B_GCN_seed4
B,30,J-reranking,5,0,27.941287269090886,3.4644455482243557,0.078522779196519,1.7364255077933923,0.7523033377086514,1.0686665065566434,B_GCN_seed5
B,30,J-reranking,5,1,27.60635346817444,3.275144061363244,0.07422759071547032,1.3447110377314477,0.7362197793135393,0.7783748229595692,B_GCN_seed5
B,30,J-reranking,5,2,26.68548519063983,3.2749114946628213,0.07422759071547032,1.3951762633357112,0.7362720617050298,1.0958502070278304,B_TEG-low_seed5
B,30,J-reranking,5,3,27.784596083565155,3.377443129833075,0.07736111146004057,1.5829903911582162,0.7424145319631151,0.9397748276103002,B_GCN_seed5
